"module name","license","repository"
"@types/node@7.0.52","MIT","https://www.github.com/DefinitelyTyped/DefinitelyTyped"
"abbrev@1.1.1","ISC","https://github.com/isaacs/abbrev-js"
"ajv@5.5.2","MIT","https://github.com/epoberezkin/ajv"
"ansi-regex@2.1.1","MIT","https://github.com/chalk/ansi-regex"
"ansi-styles@2.2.1","MIT","https://github.com/chalk/ansi-styles"
"aproba@1.2.0","ISC","https://github.com/iarna/aproba"
"are-we-there-yet@1.1.4","ISC","https://github.com/iarna/are-we-there-yet"
"arr-union@3.1.0","MIT","https://github.com/jonschlinkert/arr-union"
"array-find-index@1.0.2","MIT","https://github.com/sindresorhus/array-find-index"
"asn1@0.2.3","MIT","https://github.com/mcavage/node-asn1"
"assert-plus@1.0.0","MIT","https://github.com/mcavage/node-assert-plus"
"async-array-reduce@0.2.1","MIT","https://github.com/jonschlinkert/async-array-reduce"
"async-each@1.0.1","MIT","https://github.com/paulmillr/async-each"
"asynckit@0.4.0","MIT","https://github.com/alexindigo/asynckit"
"aws-sign2@0.7.0","Apache-2.0","https://github.com/mikeal/aws-sign"
"aws4@1.6.0","MIT","https://github.com/mhart/aws4"
"balanced-match@1.0.0","MIT","https://github.com/juliangruber/balanced-match"
"bcrypt-pbkdf@1.0.1","BSD-3-Clause",""
"bfres-editor@0.1.0","GPL-3.0",""
"block-stream@0.0.9","ISC","https://github.com/isaacs/block-stream"
"boom@4.3.1","BSD-3-Clause","https://github.com/hapijs/boom"
"boom@5.2.0","BSD-3-Clause","https://github.com/hapijs/boom"
"brace-expansion@1.1.8","MIT","https://github.com/juliangruber/brace-expansion"
"builtin-modules@1.1.1","MIT","https://github.com/sindresorhus/builtin-modules"
"camelcase-keys@2.1.0","MIT","https://github.com/sindresorhus/camelcase-keys"
"camelcase@2.1.1","MIT","https://github.com/sindresorhus/camelcase"
"camelcase@3.0.0","MIT","https://github.com/sindresorhus/camelcase"
"caseless@0.12.0","Apache-2.0","https://github.com/mikeal/caseless"
"chalk@1.1.3","MIT","https://github.com/chalk/chalk"
"cli-cursor@2.1.0","MIT","https://github.com/sindresorhus/cli-cursor"
"cli-spinners@1.1.0","MIT","https://github.com/sindresorhus/cli-spinners"
"cliui@3.2.0","ISC","https://github.com/yargs/cliui"
"co@4.6.0","MIT","https://github.com/tj/co"
"code-point-at@1.1.0","MIT","https://github.com/sindresorhus/code-point-at"
"colors@1.1.2","MIT","https://github.com/Marak/colors.js"
"combined-stream@1.0.5","MIT","https://github.com/felixge/node-combined-stream"
"concat-map@0.0.1","MIT","https://github.com/substack/node-concat-map"
"concat-stream@1.6.0","MIT","https://github.com/maxogden/concat-stream"
"console-control-strings@1.1.0","ISC","https://github.com/iarna/console-control-strings"
"core-util-is@1.0.2","MIT","https://github.com/isaacs/core-util-is"
"crc32@0.2.2","MIT*","https://github.com/beatgammit/crc32"
"cryptiles@3.1.2","BSD-3-Clause","https://github.com/hapijs/cryptiles"
"currently-unhandled@0.4.1","MIT","https://github.com/jamestalmage/currently-unhandled"
"dashdash@1.14.1","MIT","https://github.com/trentm/node-dashdash"
"debug@2.6.9","MIT","https://github.com/visionmedia/debug"
"decamelize@1.2.0","MIT","https://github.com/sindresorhus/decamelize"
"deep-extend@0.4.2","MIT","https://github.com/unclechu/node-deep-extend"
"delayed-stream@1.0.0","MIT","https://github.com/felixge/node-delayed-stream"
"delegates@1.0.0","MIT","https://github.com/visionmedia/node-delegates"
"delete@1.1.0","MIT","https://github.com/jonschlinkert/delete"
"detect-libc@1.0.3","Apache-2.0","https://github.com/lovell/detect-libc"
"ecc-jsbn@0.1.1","MIT","https://github.com/quartzjer/ecc-jsbn"
"electron-download@3.3.0","BSD-3-Clause","https://github.com/electron-userland/electron-download"
"electron-rebuild@1.7.3","MIT","https://github.com/electron/electron-rebuild"
"electron-remote@1.2.0","MIT","https://github.com/paulcbetts/electron-remote"
"electron@1.7.10","MIT","https://github.com/electron/electron"
"error-ex@1.3.1","MIT","https://github.com/qix-/node-error-ex"
"es6-promise@4.2.4","MIT","https://github.com/stefanpenner/es6-promise"
"escape-string-regexp@1.0.5","MIT","https://github.com/sindresorhus/escape-string-regexp"
"expand-tilde@2.0.2","MIT","https://github.com/jonschlinkert/expand-tilde"
"extend-shallow@2.0.1","MIT","https://github.com/jonschlinkert/extend-shallow"
"extend@3.0.1","MIT","https://github.com/justmoon/node-extend"
"extract-zip@1.6.6","BSD-2-Clause","https://github.com/maxogden/extract-zip"
"extsprintf@1.3.0","MIT","https://github.com/davepacheco/node-extsprintf"
"fast-deep-equal@1.0.0","MIT","https://github.com/epoberezkin/fast-deep-equal"
"fast-json-stable-stringify@2.0.0","MIT","https://github.com/epoberezkin/fast-json-stable-stringify"
"fd-slicer@1.0.1","MIT","https://github.com/andrewrk/node-fd-slicer"
"find-up@1.1.2","MIT","https://github.com/sindresorhus/find-up"
"forever-agent@0.6.1","Apache-2.0","https://github.com/mikeal/forever-agent"
"form-data@2.3.1","MIT","https://github.com/form-data/form-data"
"fs-extra@0.30.0","MIT","https://github.com/jprichardson/node-fs-extra"
"fs-extra@3.0.1","MIT","https://github.com/jprichardson/node-fs-extra"
"fs.realpath@1.0.0","ISC","https://github.com/isaacs/fs.realpath"
"fstream@1.0.11","ISC","https://github.com/npm/fstream"
"gauge@2.7.4","ISC","https://github.com/iarna/gauge"
"get-caller-file@1.0.2","ISC","https://github.com/stefanpenner/get-caller-file"
"get-stdin@4.0.1","MIT","https://github.com/sindresorhus/get-stdin"
"getpass@0.1.7","MIT","https://github.com/arekinath/node-getpass"
"glob@7.1.2","ISC","https://github.com/isaacs/node-glob"
"global-modules@1.0.0","MIT","https://github.com/jonschlinkert/global-modules"
"global-prefix@1.0.2","MIT","https://github.com/jonschlinkert/global-prefix"
"graceful-fs@4.1.11","ISC","https://github.com/isaacs/node-graceful-fs"
"har-schema@2.0.0","ISC","https://github.com/ahmadnassri/har-schema"
"har-validator@5.0.3","ISC","https://github.com/ahmadnassri/har-validator"
"has-ansi@2.0.0","MIT","https://github.com/sindresorhus/has-ansi"
"has-glob@1.0.0","MIT","https://github.com/jonschlinkert/has-glob"
"has-unicode@2.0.1","ISC","https://github.com/iarna/has-unicode"
"hashids@1.1.4","MIT","https://github.com/ivanakimov/hashids.js"
"hawk@6.0.2","BSD-3-Clause","https://github.com/hueniverse/hawk"
"hoek@4.2.0","BSD-3-Clause","https://github.com/hapijs/hoek"
"home-path@1.0.5","MIT","https://github.com/75lb/home-path"
"homedir-polyfill@1.0.1","MIT","https://github.com/doowb/homedir-polyfill"
"hosted-git-info@2.5.0","ISC","https://github.com/npm/hosted-git-info"
"http-signature@1.2.0","MIT","https://github.com/joyent/node-http-signature"
"indent-string@2.1.0","MIT","https://github.com/sindresorhus/indent-string"
"inflight@1.0.6","ISC","https://github.com/npm/inflight"
"inherits@2.0.3","ISC","https://github.com/isaacs/inherits"
"ini@1.3.5","ISC","https://github.com/isaacs/ini"
"invert-kv@1.0.0","MIT","https://github.com/sindresorhus/invert-kv"
"is-arrayish@0.2.1","MIT","https://github.com/qix-/node-is-arrayish"
"is-builtin-module@1.0.0","MIT","https://github.com/sindresorhus/is-builtin-module"
"is-extendable@0.1.1","MIT","https://github.com/jonschlinkert/is-extendable"
"is-extglob@2.1.1","MIT","https://github.com/jonschlinkert/is-extglob"
"is-finite@1.0.2","MIT","https://github.com/sindresorhus/is-finite"
"is-fullwidth-code-point@1.0.0","MIT","https://github.com/sindresorhus/is-fullwidth-code-point"
"is-glob@3.1.0","MIT","https://github.com/jonschlinkert/is-glob"
"is-typedarray@1.0.0","MIT","https://github.com/hughsk/is-typedarray"
"is-utf8@0.2.1","MIT","https://github.com/wayfind/is-utf8"
"is-valid-glob@1.0.0","MIT","https://github.com/jonschlinkert/is-valid-glob"
"is-windows@1.0.1","MIT","https://github.com/jonschlinkert/is-windows"
"isarray@0.0.1","MIT","https://github.com/juliangruber/isarray"
"isarray@1.0.0","MIT","https://github.com/juliangruber/isarray"
"isexe@2.0.0","ISC","https://github.com/isaacs/isexe"
"isstream@0.1.2","MIT","https://github.com/rvagg/isstream"
